customer_key,customer_id,first_name,last_name,email,customer_segment,country,city,postal_code,effective_date,end_date,is_current,version
21,CUST_0021,William,Jones,cust_21@example.com,Premium,Germany,Sample City,86484,2025-01-01,9999-12-31,True,1
22,CUST_0022,Michael,Garcia,cust_22@example.com,Standard,Canada,Sample City,76784,2025-01-01,9999-12-31,True,1
23,CUST_0023,Linda,Johnson,cust_23@example.com,Premium,United States,Sample City,30033,2025-01-01,9999-12-31,True,1
24,CUST_0024,John,Miller,cust_24@example.com,Standard,Germany,Sample City,60019,2025-01-01,9999-12-31,True,1
25,CUST_0025,Elizabeth,Davis,cust_25@example.com,Standard,Japan,Sample City,11504,2025-01-01,9999-12-31,True,1
26,CUST_0026,Mary,Rodriguez,cust_26@example.com,Premium,Australia,Sample City,54587,2025-01-01,9999-12-31,True,1
27,CUST_0027,Mary,Jones,cust_27@example.com,Standard,Germany,Sample City,10425,2025-01-01,9999-12-31,True,1
28,CUST_0028,Robert,Rodriguez,cust_28@example.com,Premium,Japan,Sample City,23947,2025-01-01,9999-12-31,True,1
29,CUST_0029,Robert,Rodriguez,cust_29@example.com,Premium,Canada,Sample City,59009,2025-01-01,9999-12-31,True,1
30,CUST_0030,John,Rodriguez,cust_30@example.com,VIP,Japan,Sample City,10074,2025-01-01,9999-12-31,True,1
31,CUST_0031,Elizabeth,Garcia,cust_31@example.com,Standard,United States,Sample City,57576,2025-01-01,9999-12-31,True,1
32,CUST_0032,Robert,Brown,cust_32@example.com,Standard,Japan,Sample City,20322,2025-01-01,9999-12-31,True,1
33,CUST_0033,Mary,Davis,cust_33@example.com,Premium,Japan,Sample City,26483,2025-01-01,9999-12-31,True,1
34,CUST_0034,John,Davis,cust_34@example.com,VIP,Canada,Sample City,44741,2025-01-01,9999-12-31,True,1
35,CUST_0035,William,Martinez,cust_35@example.com,Standard,Canada,Sample City,80686,2025-01-01,9999-12-31,True,1
36,CUST_0036,Patricia,Jones,cust_36@example.com,Standard,Australia,Sample City,95180,2025-01-01,9999-12-31,True,1
37,CUST_0037,Jennifer,Davis,cust_37@example.com,Premium,Germany,Sample City,25860,2025-01-01,9999-12-31,True,1
38,CUST_0038,Patricia,Brown,cust_38@example.com,Standard,United States,Sample City,87110,2025-01-01,9999-12-31,True,1
39,CUST_0039,William,Brown,cust_39@example.com,Standard,United States,Sample City,19305,2025-01-01,9999-12-31,True,1
40,CUST_0040,James,Brown,cust_40@example.com,Standard,United States,Sample City,53309,2025-01-01,9999-12-31,True,1
41,CUST_0041,Mary,Rodriguez,cust_41@example.com,Standard,Australia,Sample City,73624,2025-01-01,9999-12-31,True,1
42,CUST_0042,Patricia,Rodriguez,cust_42@example.com,Standard,Japan,Sample City,85525,2025-01-01,9999-12-31,True,1
43,CUST_0043,Linda,Brown,cust_43@example.com,Premium,Germany,Sample City,34957,2025-01-01,9999-12-31,True,1
44,CUST_0044,Mary,Johnson,cust_44@example.com,Premium,United Kingdom,Sample City,65519,2025-01-01,9999-12-31,True,1
45,CUST_0045,Michael,Davis,cust_45@example.com,Premium,United States,Sample City,98259,2025-01-01,9999-12-31,True,1
46,CUST_0046,Mary,Smith,cust_46@example.com,Standard,United Kingdom,Sample City,24322,2025-01-01,9999-12-31,True,1
47,CUST_0047,Patricia,Brown,cust_47@example.com,Standard,Germany,Sample City,28373,2025-01-01,9999-12-31,True,1
48,CUST_0048,Michael,Williams,cust_48@example.com,Standard,Canada,Sample City,19880,2025-01-01,9999-12-31,True,1
49,CUST_0049,Linda,Rodriguez,cust_49@example.com,Standard,Australia,Sample City,80855,2025-01-01,9999-12-31,True,1
50,CUST_0050,James,Johnson,cust_50@example.com,VIP,Canada,Sample City,31798,2025-01-01,9999-12-31,True,1
51,CUST_0051,Michael,Davis,cust_51@example.com,Standard,Germany,Sample City,17685,2025-01-01,9999-12-31,True,1
52,CUST_0052,John,Miller,cust_52@example.com,Standard,Germany,Sample City,44760,2025-01-01,9999-12-31,True,1
53,CUST_0053,Linda,Jones,cust_53@example.com,Standard,Australia,Sample City,82845,2025-01-01,9999-12-31,True,1
54,CUST_0054,Linda,Williams,cust_54@example.com,Standard,Canada,Sample City,17665,2025-01-01,9999-12-31,True,1
55,CUST_0055,Elizabeth,Rodriguez,cust_55@example.com,Standard,United Kingdom,Sample City,17492,2025-01-01,9999-12-31,True,1
56,CUST_0056,James,Martinez,cust_56@example.com,Standard,Japan,Sample City,30635,2025-01-01,9999-12-31,True,1
57,CUST_0057,James,Rodriguez,cust_57@example.com,Standard,Canada,Sample City,18981,2025-01-01,9999-12-31,True,1
58,CUST_0058,Elizabeth,Johnson,cust_58@example.com,Premium,Canada,Sample City,62923,2025-01-01,9999-12-31,True,1
59,CUST_0059,Mary,Martinez,cust_59@example.com,Standard,Japan,Sample City,15209,2025-01-01,9999-12-31,True,1
60,CUST_0060,Elizabeth,Johnson,cust_60@example.com,Standard,Japan,Sample City,84085,2025-01-01,9999-12-31,True,1
61,CUST_0061,William,Garcia,cust_61@example.com,VIP,Canada,Sample City,97782,2025-01-01,9999-12-31,True,1
62,CUST_0062,Jennifer,Brown,cust_62@example.com,Standard,Canada,Sample City,98039,2025-01-01,9999-12-31,True,1
63,CUST_0063,Robert,Davis,cust_63@example.com,Standard,United States,Sample City,11220,2025-01-01,9999-12-31,True,1
64,CUST_0064,Linda,Martinez,cust_64@example.com,VIP,United States,Sample City,19602,2025-01-01,9999-12-31,True,1
65,CUST_0065,William,Brown,cust_65@example.com,Standard,Canada,Sample City,55745,2025-01-01,9999-12-31,True,1
66,CUST_0066,Mary,Brown,cust_66@example.com,Standard,Canada,Sample City,67433,2025-01-01,9999-12-31,True,1
67,CUST_0067,William,Jones,cust_67@example.com,Premium,Australia,Sample City,79329,2025-01-01,9999-12-31,True,1
68,CUST_0068,James,Rodriguez,cust_68@example.com,Standard,Australia,Sample City,23577,2025-01-01,9999-12-31,True,1
69,CUST_0069,John,Jones,cust_69@example.com,Standard,United States,Sample City,82512,2025-01-01,9999-12-31,True,1
70,CUST_0070,John,Jones,cust_70@example.com,Standard,Canada,Sample City,54942,2025-01-01,9999-12-31,True,1
71,CUST_0071,Patricia,Jones,cust_71@example.com,Standard,United Kingdom,Sample City,16658,2025-01-01,9999-12-31,True,1
72,CUST_0072,Mary,Miller,cust_72@example.com,Premium,United States,Sample City,10464,2025-01-01,9999-12-31,True,1
73,CUST_0073,Jennifer,Williams,cust_73@example.com,Premium,United Kingdom,Sample City,31178,2025-01-01,9999-12-31,True,1
74,CUST_0074,Linda,Rodriguez,cust_74@example.com,Premium,Japan,Sample City,11267,2025-01-01,9999-12-31,True,1
75,CUST_0075,Mary,Johnson,cust_75@example.com,VIP,Australia,Sample City,29536,2025-01-01,9999-12-31,True,1
76,CUST_0076,William,Smith,cust_76@example.com,Premium,Japan,Sample City,82420,2025-01-01,9999-12-31,True,1
77,CUST_0077,John,Miller,cust_77@example.com,Standard,United Kingdom,Sample City,57795,2025-01-01,9999-12-31,True,1
78,CUST_0078,James,Garcia,cust_78@example.com,Standard,Canada,Sample City,97416,2025-01-01,9999-12-31,True,1
79,CUST_0079,Mary,Garcia,cust_79@example.com,Premium,Germany,Sample City,91351,2025-01-01,9999-12-31,True,1
80,CUST_0080,John,Brown,cust_80@example.com,Premium,Canada,Sample City,64040,2025-01-01,9999-12-31,True,1
81,CUST_0081,James,Williams,cust_81@example.com,Premium,United Kingdom,Sample City,63964,2025-01-01,9999-12-31,True,1
82,CUST_0082,Patricia,Jones,cust_82@example.com,Standard,Australia,Sample City,24168,2025-01-01,9999-12-31,True,1
83,CUST_0083,Michael,Smith,cust_83@example.com,Premium,Canada,Sample City,36158,2025-01-01,9999-12-31,True,1
84,CUST_0084,Linda,Garcia,cust_84@example.com,Standard,Canada,Sample City,39219,2025-01-01,9999-12-31,True,1
85,CUST_0085,James,Brown,cust_85@example.com,Standard,United Kingdom,Sample City,19099,2025-01-01,9999-12-31,True,1
86,CUST_0086,Robert,Garcia,cust_86@example.com,Premium,Germany,Sample City,99065,2025-01-01,9999-12-31,True,1
87,CUST_0087,William,Garcia,cust_87@example.com,VIP,United States,Sample City,44237,2025-01-01,9999-12-31,True,1
88,CUST_0088,John,Martinez,cust_88@example.com,VIP,United Kingdom,Sample City,15014,2025-01-01,9999-12-31,True,1
89,CUST_0089,Mary,Martinez,cust_89@example.com,Standard,Australia,Sample City,51114,2025-01-01,9999-12-31,True,1
90,CUST_0090,Michael,Martinez,cust_90@example.com,VIP,United States,Sample City,60488,2025-01-01,9999-12-31,True,1
91,CUST_0091,Elizabeth,Brown,cust_91@example.com,Standard,Australia,Sample City,67154,2025-01-01,9999-12-31,True,1
92,CUST_0092,James,Rodriguez,cust_92@example.com,VIP,Japan,Sample City,97900,2025-01-01,9999-12-31,True,1
93,CUST_0093,Patricia,Garcia,cust_93@example.com,Standard,Australia,Sample City,53279,2025-01-01,9999-12-31,True,1
94,CUST_0094,Elizabeth,Garcia,cust_94@example.com,Premium,United States,Sample City,49363,2025-01-01,9999-12-31,True,1
95,CUST_0095,William,Jones,cust_95@example.com,Premium,United Kingdom,Sample City,62743,2025-01-01,9999-12-31,True,1
96,CUST_0096,Robert,Rodriguez,cust_96@example.com,Standard,Germany,Sample City,97153,2025-01-01,9999-12-31,True,1
97,CUST_0097,Michael,Williams,cust_97@example.com,Premium,United Kingdom,Sample City,63225,2025-01-01,9999-12-31,True,1
98,CUST_0098,William,Smith,cust_98@example.com,Standard,Canada,Sample City,66346,2025-01-01,9999-12-31,True,1
99,CUST_0099,Elizabeth,Martinez,cust_99@example.com,Premium,Germany,Sample City,67905,2025-01-01,9999-12-31,True,1
100,CUST_0100,Linda,Brown,cust_100@example.com,Standard,Australia,Sample City,32241,2025-01-01,9999-12-31,True,1
101,CUST_0101,Mary,Jones,cust_101@example.com,Standard,Australia,Sample City,91167,2025-01-01,9999-12-31,True,1
102,CUST_0102,Jennifer,Johnson,cust_102@example.com,Premium,Canada,Sample City,98184,2025-01-01,9999-12-31,True,1
103,CUST_0103,Robert,Brown,cust_103@example.com,Premium,Canada,Sample City,13201,2025-01-01,9999-12-31,True,1
104,CUST_0104,James,Brown,cust_104@example.com,VIP,Japan,Sample City,19545,2025-01-01,9999-12-31,True,1
105,CUST_0105,Linda,Miller,cust_105@example.com,Premium,Japan,Sample City,35485,2025-01-01,9999-12-31,True,1
106,CUST_0106,Michael,Davis,cust_106@example.com,Standard,Canada,Sample City,95990,2025-01-01,9999-12-31,True,1
107,CUST_0107,James,Johnson,cust_107@example.com,Premium,Canada,Sample City,33053,2025-01-01,9999-12-31,True,1
108,CUST_0108,William,Davis,cust_108@example.com,Standard,Canada,Sample City,25906,2025-01-01,9999-12-31,True,1
109,CUST_0109,Linda,Williams,cust_109@example.com,Premium,Australia,Sample City,79616,2025-01-01,9999-12-31,True,1
110,CUST_0110,William,Martinez,cust_110@example.com,Standard,Germany,Sample City,90301,2025-01-01,9999-12-31,True,1
111,CUST_0111,William,Miller,cust_111@example.com,Premium,Japan,Sample City,68446,2025-01-01,9999-12-31,True,1
112,CUST_0112,John,Davis,cust_112@example.com,Standard,Canada,Sample City,93579,2025-01-01,9999-12-31,True,1
113,CUST_0113,Robert,Rodriguez,cust_113@example.com,Standard,Canada,Sample City,45992,2025-01-01,9999-12-31,True,1
114,CUST_0114,Linda,Johnson,cust_114@example.com,Premium,Canada,Sample City,45614,2025-01-01,9999-12-31,True,1
115,CUST_0115,Jennifer,Garcia,cust_115@example.com,Premium,United States,Sample City,28136,2025-01-01,9999-12-31,True,1
116,CUST_0116,John,Brown,cust_116@example.com,Standard,Canada,Sample City,38043,2025-01-01,9999-12-31,True,1
117,CUST_0117,Mary,Miller,cust_117@example.com,Standard,Japan,Sample City,71069,2025-01-01,9999-12-31,True,1
118,CUST_0118,Michael,Smith,cust_118@example.com,Standard,Germany,Sample City,61049,2025-01-01,9999-12-31,True,1
119,CUST_0119,Elizabeth,Smith,cust_119@example.com,Premium,Japan,Sample City,59857,2025-01-01,9999-12-31,True,1
120,CUST_0120,Linda,Smith,cust_120@example.com,VIP,United Kingdom,Sample City,61116,2025-01-01,9999-12-31,True,1
121,CUST_0121,Michael,Rodriguez,cust_121@example.com,Premium,Japan,Sample City,89069,2025-01-01,9999-12-31,True,1
122,CUST_0122,Patricia,Davis,cust_122@example.com,Standard,Germany,Sample City,73654,2025-01-01,9999-12-31,True,1
123,CUST_0123,James,Miller,cust_123@example.com,Standard,Australia,Sample City,62994,2025-01-01,9999-12-31,True,1
124,CUST_0124,John,Davis,cust_124@example.com,VIP,Japan,Sample City,80008,2025-01-01,9999-12-31,True,1
125,CUST_0125,James,Miller,cust_125@example.com,Standard,Australia,Sample City,13552,2025-01-01,9999-12-31,True,1
126,CUST_0126,Mary,Miller,cust_126@example.com,Standard,Germany,Sample City,33819,2025-01-01,9999-12-31,True,1
127,CUST_0127,James,Jones,cust_127@example.com,Standard,Canada,Sample City,69598,2025-01-01,9999-12-31,True,1
128,CUST_0128,Jennifer,Garcia,cust_128@example.com,Premium,Germany,Sample City,46471,2025-01-01,9999-12-31,True,1
129,CUST_0129,Michael,Jones,cust_129@example.com,Premium,Germany,Sample City,12540,2025-01-01,9999-12-31,True,1
130,CUST_0130,William,Smith,cust_130@example.com,VIP,United Kingdom,Sample City,39389,2025-01-01,9999-12-31,True,1
131,CUST_0131,Mary,Smith,cust_131@example.com,Premium,Canada,Sample City,36130,2025-01-01,9999-12-31,True,1
132,CUST_0132,James,Martinez,cust_132@example.com,Standard,Canada,Sample City,72070,2025-01-01,9999-12-31,True,1
133,CUST_0133,Mary,Martinez,cust_133@example.com,VIP,Germany,Sample City,43586,2025-01-01,9999-12-31,True,1
134,CUST_0134,Jennifer,Williams,cust_134@example.com,Premium,Australia,Sample City,25012,2025-01-01,9999-12-31,True,1
135,CUST_0135,John,Jones,cust_135@example.com,Standard,United States,Sample City,50888,2025-01-01,9999-12-31,True,1
136,CUST_0136,Elizabeth,Miller,cust_136@example.com,Standard,Australia,Sample City,35995,2025-01-01,9999-12-31,True,1
137,CUST_0137,Mary,Martinez,cust_137@example.com,Premium,Australia,Sample City,41830,2025-01-01,9999-12-31,True,1
138,CUST_0138,Mary,Jones,cust_138@example.com,Premium,Japan,Sample City,25866,2025-01-01,9999-12-31,True,1
139,CUST_0139,Elizabeth,Smith,cust_139@example.com,Standard,Germany,Sample City,96706,2025-01-01,9999-12-31,True,1
140,CUST_0140,Jennifer,Johnson,cust_140@example.com,Standard,United Kingdom,Sample City,11658,2025-01-01,9999-12-31,True,1
141,CUST_0141,Michael,Davis,cust_141@example.com,Standard,United Kingdom,Sample City,93307,2025-01-01,9999-12-31,True,1
142,CUST_0142,Linda,Williams,cust_142@example.com,Standard,Australia,Sample City,78386,2025-01-01,9999-12-31,True,1
143,CUST_0143,Robert,Martinez,cust_143@example.com,Premium,Japan,Sample City,73372,2025-01-01,9999-12-31,True,1
144,CUST_0144,Linda,Miller,cust_144@example.com,Premium,Japan,Sample City,45179,2025-01-01,9999-12-31,True,1
145,CUST_0145,Jennifer,Brown,cust_145@example.com,Premium,United States,Sample City,46559,2025-01-01,9999-12-31,True,1
146,CUST_0146,Linda,Brown,cust_146@example.com,Premium,Japan,Sample City,89997,2025-01-01,9999-12-31,True,1
147,CUST_0147,Michael,Garcia,cust_147@example.com,Standard,United Kingdom,Sample City,33834,2025-01-01,9999-12-31,True,1
148,CUST_0148,Linda,Brown,cust_148@example.com,Standard,United Kingdom,Sample City,54608,2025-01-01,9999-12-31,True,1
149,CUST_0149,Robert,Martinez,cust_149@example.com,Premium,United Kingdom,Sample City,82848,2025-01-01,9999-12-31,True,1
150,CUST_0150,James,Rodriguez,cust_150@example.com,VIP,United States,Sample City,41635,2025-01-01,9999-12-31,True,1
151,CUST_0151,Michael,Davis,cust_151@example.com,Standard,Canada,Sample City,72402,2025-01-01,9999-12-31,True,1
152,CUST_0152,Linda,Davis,cust_152@example.com,Premium,United States,Sample City,48566,2025-01-01,9999-12-31,True,1
153,CUST_0153,Patricia,Miller,cust_153@example.com,Premium,United Kingdom,Sample City,97026,2025-01-01,9999-12-31,True,1
154,CUST_0154,Elizabeth,Garcia,cust_154@example.com,Standard,Japan,Sample City,55056,2025-01-01,9999-12-31,True,1
155,CUST_0155,Michael,Rodriguez,cust_155@example.com,Standard,Australia,Sample City,69473,2025-01-01,9999-12-31,True,1
156,CUST_0156,Robert,Jones,cust_156@example.com,Standard,United States,Sample City,35242,2025-01-01,9999-12-31,True,1
157,CUST_0157,Jennifer,Johnson,cust_157@example.com,Premium,Australia,Sample City,34267,2025-01-01,9999-12-31,True,1
158,CUST_0158,Patricia,Brown,cust_158@example.com,Premium,United Kingdom,Sample City,87278,2025-01-01,9999-12-31,True,1
159,CUST_0159,William,Martinez,cust_159@example.com,Standard,United States,Sample City,35443,2025-01-01,9999-12-31,True,1
160,CUST_0160,Robert,Brown,cust_160@example.com,Standard,United Kingdom,Sample City,11854,2025-01-01,9999-12-31,True,1
161,CUST_0161,William,Williams,cust_161@example.com,Standard,United States,Sample City,82529,2025-01-01,9999-12-31,True,1
162,CUST_0162,Robert,Williams,cust_162@example.com,Premium,Germany,Sample City,23446,2025-01-01,9999-12-31,True,1
163,CUST_0163,James,Martinez,cust_163@example.com,Standard,Germany,Sample City,67733,2025-01-01,9999-12-31,True,1
164,CUST_0164,Jennifer,Williams,cust_164@example.com,VIP,United Kingdom,Sample City,72616,2025-01-01,9999-12-31,True,1
165,CUST_0165,Mary,Johnson,cust_165@example.com,Standard,United States,Sample City,85631,2025-01-01,9999-12-31,True,1
166,CUST_0166,James,Williams,cust_166@example.com,Standard,Japan,Sample City,49824,2025-01-01,9999-12-31,True,1
167,CUST_0167,Mary,Brown,cust_167@example.com,Standard,Germany,Sample City,89471,2025-01-01,9999-12-31,True,1
168,CUST_0168,Elizabeth,Martinez,cust_168@example.com,Standard,Japan,Sample City,59856,2025-01-01,9999-12-31,True,1
169,CUST_0169,Linda,Davis,cust_169@example.com,Standard,Japan,Sample City,66207,2025-01-01,9999-12-31,True,1
170,CUST_0170,Robert,Martinez,cust_170@example.com,Premium,Japan,Sample City,23006,2025-01-01,9999-12-31,True,1
171,CUST_0171,Patricia,Brown,cust_171@example.com,Standard,United States,Sample City,30585,2025-01-01,9999-12-31,True,1
172,CUST_0172,Patricia,Williams,cust_172@example.com,Standard,Canada,Sample City,10350,2025-01-01,9999-12-31,True,1
173,CUST_0173,Michael,Davis,cust_173@example.com,Premium,Germany,Sample City,48175,2025-01-01,9999-12-31,True,1
174,CUST_0174,James,Brown,cust_174@example.com,Standard,United Kingdom,Sample City,69510,2025-01-01,9999-12-31,True,1
175,CUST_0175,Mary,Brown,cust_175@example.com,VIP,Australia,Sample City,87304,2025-01-01,9999-12-31,True,1
176,CUST_0176,Patricia,Miller,cust_176@example.com,Standard,Canada,Sample City,94886,2025-01-01,9999-12-31,True,1
177,CUST_0177,John,Jones,cust_177@example.com,Premium,United States,Sample City,17816,2025-01-01,9999-12-31,True,1
178,CUST_0178,John,Jones,cust_178@example.com,Standard,Japan,Sample City,47828,2025-01-01,9999-12-31,True,1
179,CUST_0179,Linda,Johnson,cust_179@example.com,Standard,United Kingdom,Sample City,62757,2025-01-01,9999-12-31,True,1
180,CUST_0180,Robert,Rodriguez,cust_180@example.com,Standard,Germany,Sample City,20543,2025-01-01,9999-12-31,True,1
181,CUST_0181,Elizabeth,Smith,cust_181@example.com,Premium,Australia,Sample City,52247,2025-01-01,9999-12-31,True,1
182,CUST_0182,Elizabeth,Jones,cust_182@example.com,Standard,Canada,Sample City,98381,2025-01-01,9999-12-31,True,1
183,CUST_0183,Elizabeth,Martinez,cust_183@example.com,VIP,Australia,Sample City,45325,2025-01-01,9999-12-31,True,1
184,CUST_0184,Elizabeth,Smith,cust_184@example.com,Premium,Canada,Sample City,71669,2025-01-01,9999-12-31,True,1
185,CUST_0185,William,Davis,cust_185@example.com,VIP,Canada,Sample City,86720,2025-01-01,9999-12-31,True,1
186,CUST_0186,Michael,Davis,cust_186@example.com,VIP,Germany,Sample City,55607,2025-01-01,9999-12-31,True,1
187,CUST_0187,Michael,Garcia,cust_187@example.com,Standard,United States,Sample City,31079,2025-01-01,9999-12-31,True,1
188,CUST_0188,Jennifer,Miller,cust_188@example.com,Premium,United Kingdom,Sample City,96846,2025-01-01,9999-12-31,True,1
189,CUST_0189,Michael,Rodriguez,cust_189@example.com,Standard,United States,Sample City,51224,2025-01-01,9999-12-31,True,1
190,CUST_0190,Robert,Garcia,cust_190@example.com,Standard,Germany,Sample City,77449,2025-01-01,9999-12-31,True,1
191,CUST_0191,James,Rodriguez,cust_191@example.com,Standard,United States,Sample City,34586,2025-01-01,9999-12-31,True,1
192,CUST_0192,William,Garcia,cust_192@example.com,Premium,Germany,Sample City,91973,2025-01-01,9999-12-31,True,1
193,CUST_0193,Linda,Smith,cust_193@example.com,Standard,Japan,Sample City,27172,2025-01-01,9999-12-31,True,1
194,CUST_0194,Robert,Davis,cust_194@example.com,Premium,Germany,Sample City,25915,2025-01-01,9999-12-31,True,1
195,CUST_0195,James,Martinez,cust_195@example.com,Premium,Australia,Sample City,30758,2025-01-01,9999-12-31,True,1
196,CUST_0196,Robert,Rodriguez,cust_196@example.com,Standard,Germany,Sample City,22217,2025-01-01,9999-12-31,True,1
197,CUST_0197,Patricia,Johnson,cust_197@example.com,Standard,United States,Sample City,94896,2025-01-01,9999-12-31,True,1
198,CUST_0198,John,Davis,cust_198@example.com,VIP,United Kingdom,Sample City,76698,2025-01-01,9999-12-31,True,1
199,CUST_0199,Robert,Miller,cust_199@example.com,Premium,Germany,Sample City,41946,2025-01-01,9999-12-31,True,1
200,CUST_0200,Linda,Rodriguez,cust_200@example.com,Standard,Canada,Sample City,88561,2025-01-01,9999-12-31,True,1
201,CUST_0201,William,Williams,cust_201@example.com,Premium,United Kingdom,Sample City,64387,2025-01-01,9999-12-31,True,1
202,CUST_0202,Jennifer,Rodriguez,cust_202@example.com,Standard,United States,Sample City,47072,2025-01-01,9999-12-31,True,1
203,CUST_0203,Robert,Martinez,cust_203@example.com,Standard,Australia,Sample City,74178,2025-01-01,9999-12-31,True,1
204,CUST_0204,John,Davis,cust_204@example.com,Standard,United Kingdom,Sample City,53573,2025-01-01,9999-12-31,True,1
205,CUST_0205,William,Rodriguez,cust_205@example.com,Standard,United Kingdom,Sample City,34727,2025-01-01,9999-12-31,True,1
206,CUST_0206,Patricia,Martinez,cust_206@example.com,Standard,Germany,Sample City,15720,2025-01-01,9999-12-31,True,1
207,CUST_0207,Jennifer,Davis,cust_207@example.com,Premium,Germany,Sample City,60604,2025-01-01,9999-12-31,True,1
208,CUST_0208,John,Davis,cust_208@example.com,VIP,Canada,Sample City,75836,2025-01-01,9999-12-31,True,1
209,CUST_0209,Elizabeth,Garcia,cust_209@example.com,Premium,Germany,Sample City,23069,2025-01-01,9999-12-31,True,1
210,CUST_0210,William,Davis,cust_210@example.com,Standard,Canada,Sample City,63736,2025-01-01,9999-12-31,True,1
211,CUST_0211,John,Johnson,cust_211@example.com,Standard,United Kingdom,Sample City,54375,2025-01-01,9999-12-31,True,1
212,CUST_0212,Elizabeth,Miller,cust_212@example.com,Premium,United Kingdom,Sample City,98389,2025-01-01,9999-12-31,True,1
213,CUST_0213,William,Miller,cust_213@example.com,VIP,Australia,Sample City,73956,2025-01-01,9999-12-31,True,1
214,CUST_0214,William,Smith,cust_214@example.com,Premium,Canada,Sample City,92727,2025-01-01,9999-12-31,True,1
215,CUST_0215,Robert,Brown,cust_215@example.com,Premium,Germany,Sample City,22903,2025-01-01,9999-12-31,True,1
216,CUST_0216,Mary,Davis,cust_216@example.com,Standard,United Kingdom,Sample City,13794,2025-01-01,9999-12-31,True,1
217,CUST_0217,James,Garcia,cust_217@example.com,Premium,United Kingdom,Sample City,56984,2025-01-01,9999-12-31,True,1
218,CUST_0218,Jennifer,Miller,cust_218@example.com,Standard,Japan,Sample City,64008,2025-01-01,9999-12-31,True,1
219,CUST_0219,Elizabeth,Williams,cust_219@example.com,Standard,United States,Sample City,89887,2025-01-01,9999-12-31,True,1
220,CUST_0220,Michael,Martinez,cust_220@example.com,Premium,Germany,Sample City,86435,2025-01-01,9999-12-31,True,1
221,CUST_0221,John,Brown,cust_221@example.com,Standard,United Kingdom,Sample City,70236,2025-01-01,9999-12-31,True,1
222,CUST_0222,Robert,Smith,cust_222@example.com,Premium,Germany,Sample City,47700,2025-01-01,9999-12-31,True,1
223,CUST_0223,William,Williams,cust_223@example.com,Standard,United Kingdom,Sample City,87014,2025-01-01,9999-12-31,True,1
224,CUST_0224,Robert,Miller,cust_224@example.com,Premium,Germany,Sample City,49599,2025-01-01,9999-12-31,True,1
225,CUST_0225,Patricia,Miller,cust_225@example.com,Premium,United States,Sample City,41091,2025-01-01,9999-12-31,True,1
226,CUST_0226,Michael,Martinez,cust_226@example.com,Standard,United Kingdom,Sample City,48696,2025-01-01,9999-12-31,True,1
227,CUST_0227,James,Miller,cust_227@example.com,Standard,Japan,Sample City,99889,2025-01-01,9999-12-31,True,1
228,CUST_0228,James,Martinez,cust_228@example.com,Premium,United Kingdom,Sample City,40162,2025-01-01,9999-12-31,True,1
